signguCode,signguNm,daywkDivCd,daywkDivNm,touDivCd,touDivNm,touNum,baseYmd
41133,성남시 중원구,7,일요일,1,현지인(a),72432.5,20250601
41133,성남시 중원구,7,일요일,2,외지인(b),63472.5,20250601
41133,성남시 중원구,7,일요일,3,외국인(c),358.52,20250601
41135,성남시 분당구,7,일요일,1,현지인(a),334110.0,20250601
41135,성남시 분당구,7,일요일,2,외지인(b),221767.0,20250601
41135,성남시 분당구,7,일요일,3,외국인(c),2654.17,20250601
41150,의정부시,7,일요일,1,현지인(a),249515.0,20250601
41150,의정부시,7,일요일,2,외지인(b),122167.5,20250601
41150,의정부시,7,일요일,3,외국인(c),975.4700000000003,20250601
41170,안양시,7,일요일,1,현지인(a),285162.5,20250601
41170,안양시,7,일요일,2,외지인(b),185251.5,20250601
41170,안양시,7,일요일,3,외국인(c),1406.76,20250601
41171,안양시 만안구,7,일요일,1,현지인(a),114887.5,20250601
41171,안양시 만안구,7,일요일,2,외지인(b),85568.0,20250601
41171,안양시 만안구,7,일요일,3,외국인(c),667.74,20250601
41173,안양시 동안구,7,일요일,1,현지인(a),172424.0,20250601
41173,안양시 동안구,7,일요일,2,외지인(b),105731.5,20250601
41173,안양시 동안구,7,일요일,3,외국인(c),846.81,20250601
41190,부천시,7,일요일,1,현지인(a),392353.5,20250601
41190,부천시,7,일요일,2,외지인(b),295403.5,20250601
41190,부천시,7,일요일,3,외국인(c),2622.9799999999996,20250601
41192,부천시 원미구,7,일요일,1,현지인(a),244310.5,20250601
41192,부천시 원미구,7,일요일,2,외지인(b),186959.5,20250601
41192,부천시 원미구,7,일요일,3,외국인(c),1515.2399999999998,20250601
41194,부천시 소사구,7,일요일,1,현지인(a),96099.5,20250601
41194,부천시 소사구,7,일요일,2,외지인(b),84217.0,20250601
41194,부천시 소사구,7,일요일,3,외국인(c),899.8900000000001,20250601
41196,부천시 오정구,7,일요일,1,현지인(a),57690.5,20250601
41196,부천시 오정구,7,일요일,2,외지인(b),54764.5,20250601
41196,부천시 오정구,7,일요일,3,외국인(c),648.3500000000001,20250601
41210,광명시,7,일요일,1,현지인(a),135618.0,20250601
41210,광명시,7,일요일,2,외지인(b),128499.0,20250601
41210,광명시,7,일요일,3,외국인(c),1116.6900000000003,20250601
41220,평택시,7,일요일,1,현지인(a),304374.0,20250601
41220,평택시,7,일요일,2,외지인(b),125272.0,20250601
41220,평택시,7,일요일,3,외국인(c),8123.159999999998,20250601
41250,동두천시,7,일요일,1,현지인(a),50960.0,20250601
41250,동두천시,7,일요일,2,외지인(b),31713.5,20250601
41250,동두천시,7,일요일,3,외국인(c),1543.9199999999998,20250601
41270,안산시,7,일요일,1,현지인(a),300219.5,20250601
41270,안산시,7,일요일,2,외지인(b),235147.5,20250601
41270,안산시,7,일요일,3,외국인(c),4913.32,20250601
41271,안산시 상록구,7,일요일,1,현지인(a),122391.5,20250601
41271,안산시 상록구,7,일요일,2,외지인(b),82607.0,20250601
41271,안산시 상록구,7,일요일,3,외국인(c),1272.46,20250601
41273,안산시 단원구,7,일요일,1,현지인(a),183008.0,20250601
41273,안산시 단원구,7,일요일,2,외지인(b),165119.5,20250601
41273,안산시 단원구,7,일요일,3,외국인(c),3951.95,20250601
41280,고양시,7,일요일,1,현지인(a),554078.0,20250601
41280,고양시,7,일요일,2,외지인(b),435662.5,20250601
41280,고양시,7,일요일,3,외국인(c),6553.299999999999,20250601
41281,고양시 덕양구,7,일요일,1,현지인(a),248220.0,20250601
41281,고양시 덕양구,7,일요일,2,외지인(b),194484.5,20250601
41281,고양시 덕양구,7,일요일,3,외국인(c),4220.69,20250601
41285,고양시 일산동구,7,일요일,1,현지인(a),168822.5,20250601
41285,고양시 일산동구,7,일요일,2,외지인(b),155001.0,20250601
41285,고양시 일산동구,7,일요일,3,외국인(c),1836.7199999999998,20250601
41287,고양시 일산서구,7,일요일,1,현지인(a),144518.5,20250601
41287,고양시 일산서구,7,일요일,2,외지인(b),124596.5,20250601
41287,고양시 일산서구,7,일요일,3,외국인(c),1576.13,20250601
41290,과천시,7,일요일,1,현지인(a),57806.0,20250601
41290,과천시,7,일요일,2,외지인(b),88858.0,20250601
41290,과천시,7,일요일,3,외국인(c),568.4799999999999,20250601
41310,구리시,7,일요일,1,현지인(a),129878.0,20250601
41310,구리시,7,일요일,2,외지인(b),136559.5,20250601
41310,구리시,7,일요일,3,외국인(c),547.54,20250601
41360,남양주시,7,일요일,1,현지인(a),371903.0,20250601
41360,남양주시,7,일요일,2,외지인(b),231973.0,20250601
41360,남양주시,7,일요일,3,외국인(c),2003.1700000000005,20250601
41370,오산시,7,일요일,1,현지인(a),133598.5,20250601
41370,오산시,7,일요일,2,외지인(b),90748.0,20250601
41370,오산시,7,일요일,3,외국인(c),942.71,20250601
41390,시흥시,7,일요일,1,현지인(a),217770.0,20250601
41390,시흥시,7,일요일,2,외지인(b),177555.0,20250601
41390,시흥시,7,일요일,3,외국인(c),2872.85,20250601
41410,군포시,7,일요일,1,현지인(a),136346.0,20250601
41410,군포시,7,일요일,2,외지인(b),67970.0,20250601
41410,군포시,7,일요일,3,외국인(c),744.0199999999999,20250601
41430,의왕시,7,일요일,1,현지인(a),63374.5,20250601
41430,의왕시,7,일요일,2,외지인(b),96859.0,20250601
41430,의왕시,7,일요일,3,외국인(c),749.0,20250601
41450,하남시,7,일요일,1,현지인(a),189493.5,20250601
41450,하남시,7,일요일,2,외지인(b),196700.0,20250601
41450,하남시,7,일요일,3,외국인(c),1129.53,20250601
41460,용인시,7,일요일,1,현지인(a),563948.0,20250601
41460,용인시,7,일요일,2,외지인(b),411470.5,20250601
41460,용인시,7,일요일,3,외국인(c),4865.360000000001,20250601
41461,용인시 처인구,7,일요일,1,현지인(a),165039.0,20250601
41461,용인시 처인구,7,일요일,2,외지인(b),147693.0,20250601
41461,용인시 처인구,7,일요일,3,외국인(c),2251.45,20250601
41463,용인시 기흥구,7,일요일,1,현지인(a),223125.0,20250601
41463,용인시 기흥구,7,일요일,2,외지인(b),181135.5,20250601
41463,용인시 기흥구,7,일요일,3,외국인(c),1967.3099999999993,20250601
41465,용인시 수지구,7,일요일,1,현지인(a),179301.5,20250601
41465,용인시 수지구,7,일요일,2,외지인(b),106120.0,20250601
41465,용인시 수지구,7,일요일,3,외국인(c),1301.6499999999996,20250601
41480,파주시,7,일요일,1,현지인(a),239725.5,20250601
41480,파주시,7,일요일,2,외지인(b),172193.0,20250601
41480,파주시,7,일요일,3,외국인(c),4410.71,20250601
41500,이천시,7,일요일,1,현지인(a),132380.5,20250601
41500,이천시,7,일요일,2,외지인(b),98798.0,20250601
41500,이천시,7,일요일,3,외국인(c),1603.32,20250601
41550,안성시,7,일요일,1,현지인(a),123277.0,20250601
41550,안성시,7,일요일,2,외지인(b),110068.0,20250601
41550,안성시,7,일요일,3,외국인(c),1455.3000000000002,20250601
41570,김포시,7,일요일,1,현지인(a),280301.0,20250601
41570,김포시,7,일요일,2,외지인(b),153261.5,20250601
41570,김포시,7,일요일,3,외국인(c),4460.39,20250601
41590,화성시,7,일요일,1,현지인(a),499670.5,20250601
41590,화성시,7,일요일,2,외지인(b),268327.5,20250601
41590,화성시,7,일요일,3,외국인(c),5529.68,20250601
41610,광주시,7,일요일,1,현지인(a),208999.0,20250601
41610,광주시,7,일요일,2,외지인(b),146258.0,20250601
41610,광주시,7,일요일,3,외국인(c),1504.96,20250601
41630,양주시,7,일요일,1,현지인(a),160692.0,20250601
41630,양주시,7,일요일,2,외지인(b),113141.0,20250601
41630,양주시,7,일요일,3,외국인(c),1357.2000000000003,20250601
41650,포천시,7,일요일,1,현지인(a),84980.0,20250601
41650,포천시,7,일요일,2,외지인(b),100961.0,20250601
41650,포천시,7,일요일,3,외국인(c),1505.7,20250601
41670,여주시,7,일요일,1,현지인(a),78109.5,20250601
41670,여주시,7,일요일,2,외지인(b),95480.0,20250601
41670,여주시,7,일요일,3,외국인(c),1911.7100000000005,20250601
41800,연천군,7,일요일,1,현지인(a),25924.5,20250601
41800,연천군,7,일요일,2,외지인(b),32609.5,20250601
41800,연천군,7,일요일,3,외국인(c),287.03000000000003,20250601
41820,가평군,7,일요일,1,현지인(a),42112.0,20250601
41820,가평군,7,일요일,2,외지인(b),113204.0,20250601
41820,가평군,7,일요일,3,외국인(c),2887.680000000001,20250601
41830,양평군,7,일요일,1,현지인(a),78036.0,20250601
41830,양평군,7,일요일,2,외지인(b),122832.5,20250601
41830,양평군,7,일요일,3,외국인(c),1042.2500000000002,20250601
43110,청주시,7,일요일,1,현지인(a),370965.0,20250601
43110,청주시,7,일요일,2,외지인(b),320575.5,20250601
43110,청주시,7,일요일,3,외국인(c),3248.77,20250601
43111,청주시 상당구,7,일요일,1,현지인(a),94818.5,20250601
43111,청주시 상당구,7,일요일,2,외지인(b),101755.5,20250601
43111,청주시 상당구,7,일요일,3,외국인(c),526.1700000000001,20250601
43112,청주시 서원구,7,일요일,1,현지인(a),62177.5,20250601
43112,청주시 서원구,7,일요일,2,외지인(b),83996.5,20250601
43112,청주시 서원구,7,일요일,3,외국인(c),577.1300000000001,20250601
43113,청주시 흥덕구,7,일요일,1,현지인(a),130049.5,20250601
43113,청주시 흥덕구,7,일요일,2,외지인(b),105749.0,20250601
43113,청주시 흥덕구,7,일요일,3,외국인(c),1413.72,20250601
43114,청주시 청원구,7,일요일,1,현지인(a),91196.0,20250601
43114,청주시 청원구,7,일요일,2,외지인(b),79310.0,20250601
43114,청주시 청원구,7,일요일,3,외국인(c),1512.6299999999999,20250601
43130,충주시,7,일요일,1,현지인(a),163219.0,20250601
43130,충주시,7,일요일,2,외지인(b),99953.0,20250601
43130,충주시,7,일요일,3,외국인(c),1178.2300000000002,20250601
43150,제천시,7,일요일,1,현지인(a),65915.5,20250601
43150,제천시,7,일요일,2,외지인(b),53536.0,20250601
43150,제천시,7,일요일,3,외국인(c),671.6999999999999,20250601
43720,보은군,7,일요일,1,현지인(a),19379.5,20250601
43720,보은군,7,일요일,2,외지인(b),32791.5,20250601
43720,보은군,7,일요일,3,외국인(c),174.01,20250601
43730,옥천군,7,일요일,1,현지인(a),32585.0,20250601
43730,옥천군,7,일요일,2,외지인(b),44023.0,20250601
43730,옥천군,7,일요일,3,외국인(c),251.80999999999995,20250601
43740,영동군,7,일요일,1,현지인(a),28409.5,20250601
43740,영동군,7,일요일,2,외지인(b),23852.5,20250601
43740,영동군,7,일요일,3,외국인(c),317.5999999999999,20250601
43745,증평군,7,일요일,1,현지인(a),27202.0,20250601
43745,증평군,7,일요일,2,외지인(b),22305.5,20250601
43745,증평군,7,일요일,3,외국인(c),166.79000000000002,20250601
43750,진천군,7,일요일,1,현지인(a),46805.5,20250601
43750,진천군,7,일요일,2,외지인(b),38766.0,20250601
43750,진천군,7,일요일,3,외국인(c),835.4599999999999,20250601
43760,괴산군,7,일요일,1,현지인(a),17839.5,20250601
43760,괴산군,7,일요일,2,외지인(b),42920.5,20250601
43760,괴산군,7,일요일,3,외국인(c),946.1700000000002,20250601
43770,음성군,7,일요일,1,현지인(a),59671.5,20250601
43770,음성군,7,일요일,2,외지인(b),48709.5,20250601
43770,음성군,7,일요일,3,외국인(c),1458.2300000000002,20250601
43800,단양군,7,일요일,1,현지인(a),16971.5,20250601
43800,단양군,7,일요일,2,외지인(b),45391.5,20250601
43800,단양군,7,일요일,3,외국인(c),309.05999999999995,20250601
44130,천안시,7,일요일,1,현지인(a),289373.0,20250601
44130,천안시,7,일요일,2,외지인(b),239830.5,20250601
44130,천안시,7,일요일,3,외국인(c),2593.0900000000006,20250601
44131,천안시 동남구,7,일요일,1,현지인(a),143643.5,20250601
44131,천안시 동남구,7,일요일,2,외지인(b),146265.0,20250601
44131,천안시 동남구,7,일요일,3,외국인(c),1335.5900000000004,20250601
